,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xix,Семантическая когорта
1184,миниатюрный,прилагательное,1,0,1,0,0,0,0,0,5.135838822885914,размер
1191,многоугольный,прилагательное,1,0,1,0,0,0,0,0,0.21233442161802227,форма
1192,модуляция,существительное,1,0,0,0,1,0,0,0,0.19906352026689586,музыка
1194,мокренек,прилагательное,1,1,0,0,0,0,0,0,0.25214712567140146,атмосфера
1198,мокро,наречие,1,1,0,0,0,0,0,0,1.2740065297081336,атмосфера
1200,мокрый,прилагательное,1,1,0,0,0,0,0,0,30.098404264354656,атмосфера
1203,молочно-белый,прилагательное,1,0,1,0,0,0,0,0,0.5175651526939292,цвет
1209,морозно,наречие,1,1,0,0,0,0,0,0,0.6237323635029405,температура
1210,морозный,прилагательное,1,1,0,0,0,0,0,0,6.807972393127839,температура
1217,мрачно,наречие,1,0,1,0,0,0,1,0,15.84545621324491,свет
1218,мрачный,прилагательное,1,0,1,0,0,0,1,0,76.04226474195421,свет
1220,музыка,существительное,1,0,0,0,1,0,0,0,104.80030796984511,музыка
1224,мутно,наречие,1,0,1,0,0,0,1,0,0.8360667851209627,свет
1227,мутно-серый,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
1228,мутный,прилагательное,1,0,1,0,0,0,1,0,17.43796437538008,свет
1230,мухортый,прилагательное,1,0,1,0,0,0,1,0,0.1592508162135167,цвет
1232,мышастый,прилагательное,1,0,1,0,0,0,1,0,0.10616721080901113,цвет
1235,мягкий,прилагательное,0,1,0,1,1,1,0,0,72.69799760147038,осязание
1237,мягко,наречие,0,1,0,1,1,1,0,0,12.899316113294852,осязание
1242,мяконький,прилагательное,0,1,0,1,1,1,0,0,0.19906352026689586,осязание
1254,налитой,прилагательное,0,0,1,1,0,0,0,полный,3.822019589124401,вкусный
1255,намокнуть,глагол,1,1,0,0,0,0,0,0,0.9820466999833529,атмосфера
1258,напев,существительное,1,0,0,0,1,0,0,0,4.19360482695594,музыка
1270,неаппетитный,прилагательное,1,0,0,1,0,0,0,0,0.07962540810675835,вкусный
1272,небесно-голубой,прилагательное,1,0,1,0,0,0,0,0,0.23887622432027505,цвет
1275,небесный,прилагательное,1,0,1,0,0,0,1,0,65.0672293245727,цвет
1277,неблестящий,прилагательное,1,0,1,0,0,0,0,0,0.30523073107590704,яркость
1278,небольшой,прилагательное,1,0,1,0,0,0,0,0,244.80831722422855,размер
1282,невеликий,прилагательное,1,0,1,0,0,0,0,0,1.1811102202502488,размер
1287,невзрачно,наречие,1,0,1,0,0,0,0,0,0.10616721080901113,яркость
1288,невзрачный,прилагательное,1,0,1,0,0,0,0,0,5.016400710725776,яркость
1289,невкусный,прилагательное,1,0,0,1,0,0,0,0,1.0085885026856058,вкусный
1298,неглубокий,прилагательное,1,0,1,0,0,0,0,0,2.9195982972478065,размер
1314,недлинный,прилагательное,0,0,1,0,1,0,0,0,0.5308360540450556,размер
1317,недюжинный,прилагательное,1,0,1,0,0,0,0,0,2.8001601850876687,размер 
1321,нежно-голубой,прилагательное,1,0,1,0,0,0,0,0,0.2786889283736542,цвет
